,Data
0,18397.0
1,31908.999811947346
2,29599.00038409233
3,37282.00054180622
4,19995.000037245452
5,18711.999987399206
6,18736.99998313561
7,16789.000005580485
8,11458.000164985657
9,10056.000028520823
10,15974.000069186091
11,12819.999924480915
12,12290.00000116229
13,12986.000090807676
14,24526.000014275312
15,14648.999986752868
16,12295.000253885984
17,16223.00004453957
18,12890.00017297268
19,28956.99973422289
20,20568.999991439283
21,11804.000108718872
22,19550.99993751943
23,18084.000010889024
24,25411.999838501215
25,13325.999731272459
26,8985.000174164772
27,10444.999952584505
28,9248.999811142683
29,11090.000205814838
30,12185.00017669797
31,12842.999990463257
32,10829.000172197819
33,19789.999955698848
34,21004.999960944057
35,20028.000060401857
36,10730.000102728605
37,10982.000229716301
38,10850.000137090683
39,10805.000055670738
40,7235.999495148659
41,7978.999767303467
42,16002.99989016354
43,12488.000140100718
44,9484.00017541647
45,6593.999941825867
46,9277.000129848719
47,7175.999752104282
48,13384.999972045422
49,17367.00002488494
50,10781.999989688396
51,7877.000094473362
52,7941.000039696693
53,10823.999919474125
54,9661.999851733446
55,11272.00008431077
56,9746.000259578228
57,7335.000112891197
58,7218.99973243475
59,7092.999943077564
60,12466.687659412622
61,11987.966643631458
62,12398.335520535707
63,11719.031998455524
64,11696.067570239305
65,13482.535055190325
66,12772.589085251093
67,13510.13458609581
68,12106.961692988873
69,12186.53040754795
70,12656.325533598661
71,12384.748759269714
72,13138.33673760295
73,12846.505650103092
74,12367.696910589933
75,12894.761378526688
76,11059.714135617018
77,11515.491009294987
78,10636.597355633974
79,12923.216764092445
80,13270.87358981371
81,12235.898582547903
82,11626.619981259108
83,10002.911270737648
84,12500.608233481646
85,13168.114010155201
86,13250.45589119196
87,11314.080610275269
88,13345.479334235191
89,10740.115197300911
