,Data
0,24.649999618530273
1,13.408910706256563
2,14.925907132012469
3,13.461551155442692
4,44.57194716498657
5,26.951814849070814
6,21.26666617190429
7,20.687623434738583
8,19.180197732606615
9,15.198679366939814
10,20.960395669665928
11,20.64933943830198
12,22.76452115041232
13,13.62425713018581
14,16.849669596567026
15,20.290428854191106
16,17.988613623650565
17,14.279867860224726
18,15.342243894435057
19,12.466171655854396
20,12.298679584672072
21,13.62904249199778
22,32.703959693545755
23,21.86006572913314
24,18.969636670489336
25,44.2561044698698
26,20.807260418546747
27,31.426237235406177
28,27.14323391296979
29,16.725247250946893
30,20.635541302251426
31,21.48891919378798
32,20.852805470578915
33,21.971020888272307
34,21.660886430432086
35,21.48676343016544
36,21.550408962652796
37,22.271796746102837
38,22.07792053775796
39,21.6398237493066
40,22.092297927383697
41,22.41588249162166
42,22.060757257998446
43,21.463320005826546
