,Data
0,0.0
1,-0.03898840770125389
2,-0.05690200254321098
3,-0.054794520139694214
4,-0.05900948494672775
5,-0.05163329839706421
6,-0.06322444975376129
7,-0.06427818536758423
8,-0.054794520139694214
9,-0.050579559057950974
10,-0.020021075382828712
11,-0.021074814721941948
12,-0.03266596421599388
13,-0.01685985177755356
14,0.003161222441121936
15,-0.005268703680485487
16,0.013698630034923553
17,-0.0010537407360970974
18,0.0010537407360970974
19,0.009483667090535164
20,0.010537407360970974
21,-0.002107481472194195
22,-0.011591148562729359
23,-0.011591148562729359
24,0.007376185618340969
25,0.015806112438440323
26,-0.030558481812477112
27,-0.009483667090535164
28,-0.027397260069847107
29,-0.04741833359003067
30,-0.05690200254321098
31,-0.07060062885284424
32,0.011591148562729359
33,0.007376185618340969
34,0.007376185618340969
35,-0.005268703680485487
36,-0.00421496294438839
37,0.027397260069847107
38,0.031612224876880646
39,0.04741833359003067
40,0.05374078080058098
41,0.05584825947880745
42,0.05690200254321098
43,0.05374078080058098
44,0.05795574188232422
45,0.04741833359003067
46,0.040042150765657425
47,0.040042150765657425
48,0.052687037736177444
49,0.042149629443883896
50,0.0453108549118042
51,0.029504742473363876
52,0.03266596421599388
53,0.026343518868088722
54,0.015806112438440323
55,0.023182297125458717
56,0.013698630034923553
57,0.03266596421599388
58,0.027397260069847107
59,0.024236038327217102
60,0.012644889764487743
61,0.018967334181070328
62,0.0010537407360970974
63,-0.006322444882243872
64,0.021074814721941948
65,0.023182297125458717
66,0.022128555923700333
67,0.009483667090535164
68,0.00421496294438839
69,0.006322444882243872
70,0.020021075382828712
71,0.012644889764487743
72,0.013698630034923553
73,-0.010537407360970974
74,-0.010537407360970974
75,-0.003161222441121936
76,0.018967334181070328
77,0.021074814721941948
78,0.018967334181070328
79,0.030558481812477112
80,0.046364594250917435
81,0.05374078080058098
82,0.04741833359003067
83,0.024236038327217102
84,0.031612224876880646
85,0.022128555923700333
86,0.003161222441121936
87,0.005268703680485487
88,0.014752371236681938
89,0.04741833359003067
90,0.0453108549118042
91,0.0727081149816513
92,0.11380400508642197
93,0.14436247944831848
94,0.12434141337871552
95,0.08956796675920486
96,0.09799788892269135
97,0.14857745170593262
98,0.17597471177577972
99,0.17597471177577972
100,0.11236988008022308
101,0.11798539012670517
102,0.13010212779045105
103,0.11405028402805328
104,0.12601794302463531
105,0.12671466171741486
106,0.12248409539461136
107,0.14034496247768402
108,0.1422114074230194
109,0.13141261041164398
110,0.13391728699207306
111,0.13155347108840942
112,0.16509242355823517
113,0.15348973870277405
114,0.16000404953956604
115,0.14536148309707642
116,0.15081577003002167
117,0.14513762295246124
118,0.14226706326007843
119,0.16042442619800568
120,0.16412290930747986
121,0.1479603499174118
122,0.15118826925754547
123,0.14267189800739288
124,0.16657766699790955
125,0.15671022236347198
126,0.17358170449733734
127,0.16656088829040527
128,0.15175315737724304
129,0.16340649127960205
