,Data
0,1522.0
1,1072.9999955892563
2,898.0000088214874
3,829.999998152256
4,601.9999943971634
5,1295.0000064074993
6,1550.0000010579824
7,1436.9999980032444
8,1066.9999799728394
9,804.9999935626984
10,534.0000290870667
11,345.00003612041473
12,1105.99999076128
13,724.9999970197678
14,386.99996399879456
15,295.00002694129944
16,1028.0000145435333
17,891.0000057220459
18,1302.9999969899654
19,2051.999988436699
20,1385.0000025182962
21,1253.0000104904175
22,863.9999808073044
23,704.9999752044678
24,563.0000289678574
25,504.00004172325134
26,710.9999908208847
27,786.0000045895576
28,678.0000410079956
29,376.99999845027924
30,855.4692429900169
31,929.7055450081825
32,941.0712287425995
33,1055.058189868927
34,1050.311265707016
35,986.7802637815475
36,1027.5942770838737
