,Data
0,986.0
1,708.0000064373016
2,1208.9999943077564
3,1204.9999930262566
4,1610.0000236034393
5,850.0000005066395
6,1786.9999958276749
7,1182.0000040233135
8,675.9999961853027
9,599.9999865293503
10,986.0
11,898.0000011920929
12,1269.9999881386757
13,1134.00000333786
14,936.9999989941716
15,479.00000286102295
16,3776.0000343322754
17,1532.9999805688858
18,1002.9999999366701
19,1386.0000106096268
20,1056.999997034669
21,703.9999904632568
22,978.0000001918525
23,989.9999999040738
24,496.0000119805336
25,616.9999956488609
26,989.9999999040738
27,503.0000105500221
28,660.9999950528145
29,469.999996304512
30,379.9999895095825
31,538.0000033974648
32,1078.9999967366457
33,641.0000033378601
34,689.9999933242798
35,867.0000022798777
36,439.9999940395355
37,652.9999924898148
38,585.9999893903732
39,212.99999845027924
40,818.9999942481518
41,973.9999998286366
42,511.9999877214432
43,700.0000038743019
44,674.9999921917915
45,377.0000069141388
46,370.9999829530716
47,1798.9999849796295
48,966.99999942258
49,469.0000216960907
50,439.0000194311142
51,570.0000136494637
52,543.9999979734421
53,405.9999758005142
54,552.0000005364418
55,407.9999837875366
56,591.0000093579292
57,470.99997091293335
58,643.0000113248825
59,896.9999971985817
60,379.0000149011612
61,541.9999899864197
62,476.99999487400055
63,774.9999948441982
64,1251.0000004172325
65,591.0000093579292
66,833.0000060796738
67,497.9999905824661
68,607.0000144839287
69,1269.9999881386757
70,333.00000751018524
71,296.0000066757202
72,293.9999986886978
73,759.0000044107437
74,822.0000062286854
75,709.0000104308128
76,462.0000231266022
77,915.9999996125698
78,467.0000137090683
79,1179.9999960362911
80,550.9999965429306
81,367.00002574920654
82,4025.99991607666
83,2216.000034093857
84,1082.9999980181456
85,900.0000018328428
86,999.9999998938292
87,2431.9999563694
88,819.999998241663
89,526.0000142455101
90,1353.1143337488174
91,1415.752355337143
92,1444.352775156498
93,1403.0949629545212
94,1515.4490891695023
95,1458.5639923214912
96,1429.321831524372
