,Data
0,690.0
1,866.9999948143959
2,439.99999791383743
3,653.0000000819564
4,586.0000021755695
5,213.00001502037048
6,819.0000021457672
7,974.0000063180923
8,511.9999971985817
9,700.0000001862645
10,674.9999997206032
11,377.0000088214874
12,371.0000020265579
13,1799.000015258789
14,966.9999915361404
15,469.0000033378601
16,438.99998992681503
17,569.9999977648258
18,543.9999957382679
19,405.99999368190765
20,551.9999979436398
21,408.00000965595245
22,591.0000009834766
23,470.99999874830246
24,642.9999998956919
25,897.000008225441
26,379.0000042319298
27,542.0000003278255
28,477.00000554323196
29,775.0000002980232
30,1250.9999978542328
31,591.0000009834766
32,833.0000008642673
33,498.0000087618828
34,607.0000002533197
35,1269.9999850988388
36,332.999986410141
37,296.00001990795135
38,294.00000393390656
39,759.0000010281801
40,821.9999952614307
41,709.0000000968575
42,462.00000911951065
43,915.999995470047
44,467.00000792741776
45,1180.000006556511
46,551.0000002384186
47,366.99999064207077
48,4025.999994277954
49,2215.9999322891235
50,1083.0000132322311
51,899.9999910593033
52,1000.0000083446503
53,2432.000012397766
54,819.9999998509884
55,525.9999959170818
56,2013.9999639987946
57,848.9999949932098
58,591.9999986886978
59,1000.9999957680702
60,1241.8813973665237
61,1228.4786170721054
62,1136.4680528640747
63,1174.9476116895676
64,1168.2792055606842
65,1282.2000002861023
66,1221.8124729394913
67,1123.35567176342
68,1204.7997522354126
69,1074.5907747745514
70,1191.2360000610352
71,1172.2960996627808
72,1155.800923705101
73,1266.1295038461685
74,1279.8477298021317
75,1133.2791316509247
76,1258.4613364934921
77,1253.4766781330109
78,1250.5404424667358
79,1287.3680037260056
80,1156.7559385299683
81,1274.5344239473343
82,1230.8627200126648
83,1343.827183842659
84,1272.544360756874
85,1217.1880477666855
86,1084.643086194992
87,1251.3363772630692
88,1274.1689676046371
89,1275.1364028453827
