,Data
0,14001.0
1,13690.99999574013
2,11643.999925464392
3,4365.0002791285515
4,4707.0001564621925
5,7714.000200390816
6,10444.999999254942
7,9272.999865710735
8,8066.000186383724
9,11491.000057205558
10,10638.000093519688
11,8134.999934703112
12,8054.000139445066
13,6474.000079035759
14,12423.999951325357
15,12027.999967083335
16,8941.000097036362
17,7378.000137895346
18,8228.00019416213
19,8782.000205308199
20,7824.00014385581
21,7397.0001774430275
22,10370.000018835068
23,9903.000035047531
24,24015.999916791916
25,12622.999964743853
26,17112.999933063984
27,25510.000127613544
28,42662.00073480606
29,39690.99957990646
30,29589.000470280647
31,23984.999830305576
32,27450.000344395638
33,34106.00023126602
34,22559.99978506565
35,13909.999998286832
36,6379.000298559666
37,11127.999993413687
38,14732.999994579703
39,12293.00003003329
40,15393.000020474195
41,11226.000098571181
42,12438.000040858984
43,14812.000008031726
44,13828.000005698763
45,9788.000037252903
46,12022.999912753701
47,16611.999955371022
48,16129.000048086047
49,18104.000019282103
50,8213.999791681767
51,9241.000018715858
52,7118.99999409914
53,16017.9999268502
54,15014.000033184886
55,7779.99983265996
56,13482.000004056841
57,11261.000061616302
58,7767.000025212765
59,8622.000135809183
60,9237.999902665615
61,10443.999821484089
62,9941.000114142895
63,8275.000204145908
64,10014.000156283379
65,65284.00069284439
66,28196.0002720356
67,26828.99968868494
68,15448.999961346388
69,17600.999894678593
70,12909.00000552088
71,24051.999640345573
72,19032.000172019005
73,12638.000023417175
74,7498.999950528145
75,15150.000008806586
76,10312.999900192022
77,7479.999910980463
78,8028.000107288361
79,16594.000093594193
80,16082.00003810227
81,8899.000141382217
82,18956.000013828278
83,25883.000091433525
84,20473.999901264906
85,15031.999999277294
86,11274.000077694654
87,10785.999907448888
88,41750.0005055666
89,22963.000074863434
90,17491.999920353293
91,24904.000052154064
92,14604.000011567026
93,12831.999982506037
94,9676.000155508518
95,19544.999988019466
96,10761.000053063035
97,8730.999901503325
98,16498.999895855784
99,10159.000062793493
100,13189.000022828579
101,11999.000027507544
102,12723.999977320433
103,10192.000087559223
104,12695.000037744641
105,4167.999891042709
106,13837.999997003004
107,9742.000205039978
108,8026.00016900897
109,6307.999777436256
110,10457.0000461936
111,17776.999887675047
112,14063.999998678453
113,13619.000000976026
114,8399.999893337488
115,17609.00006505847
116,36992.00004529953
117,41168.99944996834
118,30173.000807404518
119,25040.9997882843
120,16176.000058069825
121,52063.000823020935
122,34481.00055062771
123,30873.99982881546
124,17551.999946415424
125,25807.999693751335
126,18586.00016605854
127,29114.00073337555
128,22150.000337183475
129,12757.000002086163
130,15333.99996355176
131,17623.000050276518
132,27360.9999614954
133,35575.0005877018
134,35631.00052857399
135,17216.000092551112
136,13837.000001784414
137,13696.999993130565
138,13438.999974947423
139,12529.000049091876
140,13247.999975435436
141,10721.000035688281
142,14948.999952793121
143,12229.999992236495
144,20987.99989503622
145,13980.999999462278
146,8781.000027537346
147,10429.000075757504
148,17757.000087618828
149,14092.999996931758
150,11438.999992892146
151,22527.999938070774
152,15770.000069484115
153,19074.00012767315
154,22127.000003814697
155,15428.99995265901
156,20421.999836951494
157,11049.99989694357
158,9896.999802947044
159,7751.999862223864
160,9286.000090420246
161,9216.999924838543
162,9199.000063061714
163,12740.00000513345
164,10098.000067591667
165,8922.00005748868
166,8899.000141382217
167,8009.999828249216
168,14398.000005539507
169,11621.00000935793
170,8091.999801278114
171,7573.000170439482
172,8920.999879717827
173,10124.000099748373
174,11091.000092089176
175,15448.999961346388
176,10014.000156283379
177,9040.999931842089
178,12567.00002387166
179,14148.000001262873
180,13229.717522755265
181,13633.127694541588
182,13101.956391558051
183,13395.7657052055
184,13037.22210726142
185,13723.531617477536
186,13354.724409721792
