,Data
0,11.149999618530273
1,11.199999811442776
2,11.399999622549995
3,11.449999810270374
4,12.14999963460916
5,12.250000010049916
6,12.050000172982081
7,12.14999963460916
8,11.800000189730852
9,11.89999965135793
10,11.949999797541324
11,11.600000394200002
12,11.550000206479623
13,11.89999965135793
14,11.949999797541324
15,11.850000418988216
16,12.050000172982081
17,11.949999797541324
18,11.89999965135793
19,11.949999797541324
20,11.949999797541324
21,11.850000418988216
22,11.949999797541324
23,11.89999965135793
24,11.850000418988216
25,11.600000394200002
26,11.699999814290095
27,11.699999814290095
28,11.500000018759245
29,11.300000192075656
30,11.300000192075656
31,11.300000192075656
32,11.399999622549995
33,11.399999622549995
34,11.35000039018028
35,11.699999814290095
36,11.500000018759245
37,11.449999810270374
38,11.399999622549995
39,11.399999622549995
40,11.300000192075656
41,11.250000004355277
42,11.300000192075656
43,11.250000004355277
44,11.149999618530273
45,11.250000004355277
46,11.300000192075656
47,11.100000380968435
48,11.000000000335556
49,10.94999980223093
50,10.9670325415408
51,11.075168911692629
52,11.017928536656953
