,Data
0,13.600000381469727
1,13.649999619932714
2,13.749999996756795
3,13.800000185168836
4,14.250000006311069
5,14.350000357803175
6,14.399999596266163
7,14.149999604155013
8,13.800000185168836
9,14.050000215277947
10,13.800000185168836
11,13.649999619932714
12,14.050000215277947
13,14.199999805233041
14,14.300000207389097
15,14.399999596266163
16,15.000000033308467
17,15.050000183722545
18,15.249999974755667
19,15.999999900425166
20,15.949999851338987
21,15.600000318358923
22,15.449999765788789
23,15.89999959959701
24,16.299999181663253
25,15.850000361134022
26,16.10000040390912
27,15.850000361134022
28,15.39999971670261
29,15.350000478239622
30,15.750000060305865
31,15.800000109392045
32,15.249999974755667
33,15.100000334136624
34,14.94999978156649
35,15.500000017530766
36,15.550000269272743
37,14.800000140947446
38,14.69999984011929
39,14.749999990533368
40,14.899999631152411
41,14.550000199500246
42,14.94999978156649
43,14.600000349914325
44,14.749999990533368
45,14.649999588377312
46,14.550000199500246
47,14.399999596266163
48,14.600000349914325
49,14.350000357803175
50,14.31465044834053
51,14.094541730447133
52,14.058712489358456
53,14.012603634248151
54,14.129527214121168
55,14.238616019518673
56,13.9096059021769
57,14.24199044120985
58,14.033295601839043
59,14.223387652239722
60,14.061159507454398
61,14.129240202847363
62,14.10539161788411
63,14.09668142102553
64,13.888981013655119
65,14.02650379542753
66,14.327914371642336
67,14.02131190587665
68,14.227214553663707
69,14.338807830075865
70,14.20252616307387
71,14.228492095813799
72,14.126622447241672
73,14.368641195399363
74,14.018648502052478
75,14.221915104548081
76,14.062136055080629
77,13.879839235942892
78,14.092310287456229
79,13.945089488470249
