,Data
0,2092.0
1,2064.9999991692603
2,2115.000000130385
3,1697.9999972581863
4,1521.9999976158142
5,1073.0000066757202
6,897.999981880188
7,829.9999465942383
8,601.999945640564
9,1294.9999715089798
10,1549.9999791383743
11,1437.0000158548355
12,1066.9999705553055
13,805.0000143051147
14,534.0000350475311
15,344.9999883174896
16,1105.9999871253967
17,725.0000314712524
18,387.00005412101746
19,294.9999990463257
20,1027.9999539852142
21,890.9999709129333
22,1303.0000196695328
23,2052.0000007897615
24,1385.0000145435333
25,1253.0000303983688
26,863.9999642372131
27,705.0000357627869
28,562.9999914169312
29,504.00004148483276
30,1305.4215561151505
31,1259.2682186365128
32,1277.3948903083801
33,1366.8979697227478
34,1135.6346304416656
35,1434.1747860908508
36,1533.5035426616669
37,1773.2309747934341
38,1440.6308242082596
39,1486.9359753131866
40,1465.7785799503326
41,1432.2257734537125
42,1402.629036784172
43,1434.874999165535
44,1676.6863928437233
45,1444.962718486786
46,1395.6836413145065
47,1316.6233443021774
48,1694.2378560900688
49,1396.1850315332413
50,1520.2754945755005
51,1560.9738910198212
52,1598.915389418602
53,1582.9206548929214
54,1237.5637954473495
55,1232.7772084474564
56,1356.9808926582336
57,1282.4546794891357
58,1122.9900205135345
59,1713.9342245459557
