,Data
0,12185.0
1,12843.000003453344
2,10828.99997908622
3,19790.000211894512
4,21004.999820291996
5,20028.000113666058
6,10730.000035203993
7,10982.000032663345
8,10849.999986439943
9,10804.999970681965
10,7235.999991893768
11,7979.000161290169
12,16003.000065982342
13,12487.999992622063
14,9484.000052809715
15,6593.9999486505985
16,9277.000071108341
17,7175.999970883131
18,13384.999966286123
19,17367.000180482864
20,10781.999962627888
21,7876.999944001436
22,7940.999966412783
23,10823.999977335334
24,9661.999933570623
25,11272.000043429434
26,9745.999962985516
27,7334.999935775995
28,7218.99989515543
29,7093.000032603741
30,8652.507069855928
31,9119.053942263126
32,8957.526877075434
33,9215.638088658452
34,9577.251288369298
35,9773.30383092165
36,9466.915707290173
