,Data
0,213.0
1,77.18467336893082
2,98.92997056245804
3,127.45365759730339
4,195.6334488093853
5,145.2902449965477
6,172.0080131292343
7,137.20069751143456
8,140.34251180291176
9,138.21498316526413
10,166.54076506197453
11,162.9041799902916
12,172.082229539752
13,213.61846689716913
14,174.77874536812305
15,173.14599385857582
16,162.92892090976238
17,197.14250841736794
18,131.23867866396904
19,148.23414462804794
20,113.74843239784241
21,156.19999703764915
22,129.95226511359215
23,166.0954697728157
24,273.90662106871605
25,231.2324040234089
26,163.3742161989212
27,183.83309984207153
28,154.61672419309616
29,216.90871098451316
30,192.31197640299797
31,186.76479405909777
32,194.84417062997818
33,196.24550011754036
34,196.28663447499275
35,201.32548296824098
36,192.96618407964706
37,190.92646904289722
38,197.98269195109606
39,186.96761088073254
40,188.9589835256338
41,196.1330312937498
42,196.5099280178547
43,190.75182576477528
44,196.90707928687334
45,198.6062551662326
46,193.44579450041056
47,198.81282200664282
48,204.25675743073225
49,194.60209049284458
50,200.7691201530397
51,199.56894354522228
52,199.68932343274355
53,199.29580950737
54,195.9764319062233
55,202.46969256922603
56,186.49820628762245
57,191.01371133327484
58,198.12441663444042
59,198.6036604642868
