,Data
0,9356.0
1,9748.999988406897
2,7352.999987959862
3,7865.000036001205
4,11820.9998909235
5,11279.999934375286
6,7026.999978065491
7,9792.000012591481
8,16495.00006699562
9,11079.000068545341
10,9209.00000526756
11,9479.999996386468
12,15701.999910354614
13,7676.999946475029
14,11107.999977052212
15,9062.000010535121
16,8608.9999794662
17,6164.999861240387
18,12753.000133037567
19,12109.000039935112
20,7448.99994468689
21,8030.9999786019325
22,5450.000035405159
23,5660.000132441521
24,6654.999901771545
25,5087.999937176704
26,7097.999989628792
27,33696.999475479126
28,24484.00050020218
29,14442.999772071838
30,11067.93732792139
31,11295.797635614872
32,10934.45292854309
33,11786.666093826294
34,10883.130823850632
35,11257.608169972897
36,10117.548212468624
37,11177.105753421783
38,10561.73054176569
39,11736.815656661987
40,11681.557440817356
41,12072.823173046112
42,10651.560954809189
43,11235.211526036263
44,11674.02915596962
45,11039.502469480038
46,11127.507518470287
47,10684.243796348572
48,10988.485544800758
49,11530.759338617325
50,11390.677251279354
51,11202.29167854786
52,11196.879577994347
53,11466.074838519096
54,11777.376575946808
55,11419.139016866684
56,11104.217919766903
57,11713.918093681335
58,11435.919874548912
59,11424.121439576149
