,Data
0,19995.0
1,18712.000045627356
2,18737.000028714538
3,16788.99998791516
4,11457.999923676252
5,10055.999847203493
6,15974.000002965331
7,12819.999788850546
8,12290.000266581774
9,12986.000129431486
10,24526.000009551644
11,14648.99970754981
12,12294.999846071005
13,16222.999917939305
14,12889.999860674143
15,28957.00008675456
16,20568.99999305606
17,11804.000023305416
18,19550.99998603575
19,18083.99997588247
20,25412.000280171633
21,13326.000137776136
22,8984.999940097332
23,10444.999905824661
24,9249.000381231308
25,11089.999886602163
26,12185.000158846378
27,12843.000238090754
28,10828.999789059162
29,19789.999997159466
30,21004.999972209334
31,20027.999999276362
32,10729.99977260828
33,10982.00003117323
34,10849.999810606241
35,10805.000019818544
36,7236.000443994999
37,7978.999929428101
38,16002.999947592616
39,12487.999703586102
40,9483.999685943127
41,6593.999615013599
42,9277.000409960747
43,7175.999531149864
44,13384.999942928553
45,17366.99994251132
46,10782.000166475773
47,7877.00016528368
48,7940.999549925327
49,10824.000209569931
50,9662.000209093094
51,11272.000073343515
52,9746.00029528141
53,7335.000460445881
54,7218.999490141869
55,7093.000552654266
56,7370.999816358089
57,40737.99906492233
58,26264.00013282895
59,17465.999958962202
60,14317.546060234308
61,14462.372973114252
62,15244.007766768336
63,14621.824996769428
64,15234.975153431296
65,15522.01477713883
66,14527.7375587821
