,Data
0,6254.0
1,3867.000045776367
2,4670.9999756217
3,4233.000087559223
4,5395.000003784895
5,4835.999988347292
6,4034.0000490546227
7,4565.999959051609
8,5151.000038057566
9,2802.0000907182693
10,3119.000037789345
11,2813.0000853538513
12,9314.000083506107
13,5632.000002577901
14,4444.0000693798065
15,4322.999942004681
16,4008.000078678131
17,3175.9999083280563
18,4379.999998927116
19,4314.999979794025
20,4757.000035345554
21,2846.999831557274
22,3520.9999095201492
23,4239.999914705753
24,3758.999996781349
25,2984.0000697374344
26,3206.0000461935997
27,2604.9999495744705
28,2570.000068306923
29,2847.999966621399
30,4237.162781655788
31,4121.975030720234
32,4157.10314399004
33,4204.254498541355
34,4488.8354197740555
35,4149.418356657028
36,4436.292356848717
37,4562.415240883827
38,4481.200956046581
39,4409.671169519424
40,4549.841422080994
41,4393.143406391144
42,4556.027125120163
43,4409.814871370792
44,4470.746133804321
45,4511.509745359421
46,4459.4240680933
47,4754.116865515709
48,4509.532214045525
49,4487.8720023036
50,4663.380049824715
51,4598.711980104446
52,4632.192274868488
53,4817.73074889183
54,4805.993047475815
55,4759.302247107029
56,4731.829286158085
57,4669.589609980583
58,4812.939289301634
59,4982.53114464879
