,Data
0,0.0
1,0.017821813002228737
2,0.011881157755851746
3,0.015841569751501083
4,0.017821813002228737
5,0.015841569751501083
6,0.011881157755851746
7,0.0
8,-0.011881157755851746
9,0.011881157755851746
10,-0.0019801678135991096
11,-0.013861401006579399
12,-0.025742558762431145
13,-0.03366338089108467
14,-0.039603959769010544
15,-0.019801979884505272
16,-0.029702970758080482
17,-0.02376239188015461
18,-0.03168313950300217
19,-0.021782148629426956
20,-0.015841569751501083
21,-0.021782148629426956
22,-0.027722802013158798
23,-0.027722802013158798
24,-0.007920822128653526
25,-0.005940578877925873
26,-0.003960411064326763
27,-0.013861401006579399
28,-0.013861401006579399
29,-0.005940578877925873
30,-0.005940578877925873
31,-0.005940578877925873
32,0.0
33,0.0019801678135991096
34,0.005940578877925873
35,0.011881157755851746
36,0.011881157755851746
37,0.009900989942252636
38,-0.007920822128653526
39,0.0
40,0.013861401006579399
41,0.013861401006579399
42,0.017821813002228737
43,0.04158412665128708
44,0.025742558762431145
45,0.025742558762431145
46,0.025742558762431145
47,0.027722802013158798
48,0.03366338089108467
49,0.03366338089108467
50,0.03366338089108467
51,0.021782148629426956
52,0.017821813002228737
53,0.02376239188015461
54,0.011881157755851746
55,0.017821813002228737
56,0.025742558762431145
57,0.015841569751501083
58,0.003960411064326763
59,0.003960411064326763
60,0.007920822128653526
61,0.009900989942252636
62,0.013861401006579399
63,0.019801979884505272
64,0.02376239188015461
65,0.02376239188015461
66,0.025742558762431145
67,0.019801979884505272
68,0.017821813002228737
69,0.009900989942252636
70,0.011881157755851746
71,0.009900989942252636
72,0.007920822128653526
73,0.009900989942252636
74,0.0019801678135991096
75,0.027722802013158798
76,0.017821813002228737
77,0.005940578877925873
78,0.019801979884505272
79,0.017821813002228737
80,0.017821813002228737
81,0.0
82,-0.005940578877925873
83,-0.009900989942252636
84,-0.009900989942252636
85,-0.04158412665128708
86,-0.05544552952051163
87,-0.03762379288673401
88,-0.03762379288673401
89,-0.017821813002228737
90,-0.013861401006579399
91,-0.027722802013158798
92,-0.04158412665128708
93,-0.039603959769010544
94,-0.029702970758080482
95,-0.03762379288673401
96,-0.04752478376030922
97,-0.05346536263823509
98,-0.05346536263823509
99,-0.05346536263823509
100,-0.05742577463388443
101,-0.05346536263823509
102,-0.04356437176465988
103,-0.02376239188015461
104,-0.019801979884505272
105,-0.025742558762431145
106,-0.025742558762431145
107,-0.035643547773361206
108,-0.029702970758080482
109,-0.03168313950300217
110,-0.025742558762431145
111,-0.021782148629426956
112,-0.019801979884505272
113,-0.03366338089108467
114,-0.029702970758080482
115,-0.029702970758080482
116,-0.029702970758080482
117,-0.029702970758080482
118,-0.03168313950300217
119,-0.035643547773361206
120,-0.035643547773361206
121,-0.04158412665128708
122,-0.035643547773361206
123,-0.03168313950300217
124,-0.039603959769010544
125,-0.04554453864693642
126,-0.04158412665128708
127,-0.04554453864693642
128,-0.029702970758080482
129,-0.029702970758080482
130,-0.029702970758080482
131,-0.019801979884505272
132,-0.019801979884505272
133,-0.011881157755851746
134,-0.011881157755851746
135,-0.019801979884505272
136,0.005940578877925873
137,0.009900989942252636
138,0.017821813002228737
139,0.02376239188015461
140,0.011881157755851746
141,0.0019801678135991096
142,0.011881157755851746
143,0.011881157755851746
144,0.011881157755851746
145,0.013861401006579399
146,0.021782148629426956
147,0.02376239188015461
148,0.017821813002228737
149,0.021782148629426956
150,0.021261196583509445
151,0.015569237060844898
152,0.01378776878118515
153,0.01706019975244999
154,0.013806632719933987
155,0.019145503640174866
156,0.019856510683894157
157,0.01809966377913952
158,0.020344439893960953
159,0.01657779887318611
160,0.021965939551591873
161,0.013129250146448612
162,0.015369178727269173
163,0.01147017814218998
164,0.016933079808950424
165,0.019153621047735214
166,0.016790024936199188
167,0.019961411133408546
168,0.014727040193974972
169,0.013385925441980362
170,0.014581065624952316
171,0.01601451449096203
172,0.02072705514729023
173,0.01387179084122181
174,0.01699008420109749
175,0.008411583490669727
176,0.012690223753452301
177,0.01721559837460518
178,0.012000801973044872
179,0.012564028613269329
