,Data
0,17492.0
1,24904.000122070312
2,14604.0000192523
3,12832.000188827515
4,9676.000038385391
5,19544.999974310398
6,10760.99990940094
7,8731.000049829483
8,16499.000001475215
9,10159.000102043152
10,13188.99994122982
11,11998.99989771843
12,12723.999922037125
13,10192.000096678734
14,12694.999879360199
15,4167.999985933304
16,13838.00009638071
17,9742.000027656555
18,8026.000306606293
19,6307.999827623367
20,10456.999911427498
21,17776.999998100102
22,14063.999988555908
23,13618.999989807606
24,8400.000245809555
25,17609.00000393577
26,36991.999863147736
27,41169.00065326691
28,30172.99978685379
29,25040.999910235405
30,16176.000036209822
31,52062.99935626984
32,34480.999655246735
33,30874.000099420547
34,17552.000000243075
35,25808.000212073326
36,18586.000023573637
37,29114.000385522842
38,22150.00009584427
39,12756.999916672707
40,15333.999983519316
41,17622.99999869801
42,27360.999675273895
43,35575.00033044815
44,35631.000700473785
45,17215.99999155104
46,13836.99997806549
47,13697.00009560585
48,13439.000066459179
49,12529.00004851818
50,13247.99988424778
51,10720.999868512154
52,14948.999915778637
53,12229.999860167503
54,20987.999976694584
55,13981.0000731349
56,8781.000231266022
57,10429.000247716904
58,17756.999993946403
59,14093.000031232834
60,11438.999846577644
61,22527.999987006187
62,15769.999960035086
63,19074.000027179718
64,22127.00024175644
65,15429.000015467405
66,20421.999997615814
67,11049.999957203865
68,9896.999860286713
69,7751.999687671661
70,9285.99977004528
71,9217.000207781792
72,9199.000163316727
73,12740.000251173973
74,10097.999922394753
75,8921.99997138977
76,8899.000117301941
77,8010.0004987716675
78,14397.999886870384
79,11621.000006556511
80,8092.000295877457
81,7573.000143289566
82,8921.000113725662
83,10123.99987077713
84,11090.99985575676
85,15449.000035911798
86,10013.999888658524
87,9041.000236392021
88,12566.999852776527
89,14148.000022292137
90,15449.052166134119
91,16131.240115046501
92,15832.139576017857
93,14228.94991672039
94,14058.738224565983
95,15923.881860047579
96,14094.453943133354
