,Data
0,3690.0
1,6196.000102758408
2,4432.999987900257
3,5494.99996483326
4,4432.999987900257
5,5742.000022530556
6,8562.000192403793
7,11318.999762535095
8,7526.9998598098755
9,7761.000076532364
10,3469.9999990314245
11,5119.00003015995
12,4445.999993830919
13,5859.9999833106995
14,5181.999970078468
15,4397.999984622002
16,4871.999972462654
17,4545.000009387732
18,4456.000002622604
19,3793.999999333173
20,5225.000002384186
21,6314.000063538551
22,6782.00005710125
23,7391.000136137009
24,4865.9999781847
25,4135.0000063329935
26,4365.000016093254
27,8453.999855518341
28,8968.999950885773
29,5600.999937057495
30,6253.999900817871
31,3866.9999961555004
32,4671.000054180622
33,4232.999977022409
34,5394.999986886978
35,4836.0000067949295
36,4034.000011011958
37,4565.999989360571
38,5151.000036299229
39,2802.000022083521
40,3118.9999763667583
41,2812.999993264675
42,9314.000061750412
43,5631.999980807304
44,4444.000014066696
45,4323.000001162291
46,4007.999999150634
47,3175.999976992607
48,4380.000001788139
49,4315.000027120113
50,4757.000008821487
51,2846.9999791681767
52,3521.000005379319
53,4239.9999886751175
54,3759.000002928078
55,2983.9999951422215
56,3206.0000033676624
57,2605.0000083446503
58,2570.000005066395
59,2847.9999965429306
60,3915.933573022485
61,4463.7336829304695
62,4040.3722831606865
63,4181.994142234325
64,4265.812500715256
65,3883.7156327068806
66,4201.691190898418
67,4419.181306064129
68,3987.0383989065886
69,4243.314666599035
70,4077.9546703398228
71,4179.977831840515
72,4221.575244516134
73,4089.6576283872128
74,4023.079466074705
75,4130.419897064567
76,4144.2576038092375
77,4256.5852001309395
78,4156.150398552418
79,4267.222873270512
80,4218.175064474344
81,4266.720912605524
82,4155.686322748661
83,4179.512931257486
84,4282.956307679415
85,4241.327883303165
86,4346.7233473062515
87,4272.411119788885
88,4094.052437245846
89,3942.0730550587177
