,Data
0,4750.0
1,4714.999999385327
2,4844.9999978765845
3,4855.000001844019
4,4850.000004284084
5,4789.999998174608
6,4765.0000004214235
7,4775.000001071021
8,4840.00000031665
9,4804.999999701977
10,4810.000001685694
11,4695.000000298023
12,4695.000000298023
13,4730.000000912696
14,4835.000002756715
15,4844.9999978765845
16,4835.000002756715
17,4890.000002458692
18,4964.999992400408
19,5000.000001862645
20,4969.999998807907
21,4859.999999403954
22,4895.000000018626
23,4850.000004284084
24,4759.999999543652
25,4769.999999087304
26,4814.999999245629
27,4969.999998807907
28,4960.000003688037
29,5090.000011026859
30,5285.000013187528
31,5430.000022053719
32,5335.000006482005
33,5170.000007376075
34,5209.999987855554
35,5449.9999769032
36,5580.000001937151
37,5580.000001937151
38,5425.000015646219
39,5485.000021755695
40,5600.000027567148
41,5495.000034570694
42,5519.999995827675
43,5444.999970495701
44,5509.999983012676
45,5499.999970197678
46,5765.0000266730785
47,5705.000020563602
48,5739.999994635582
49,5695.000007748604
50,5616.534851491451
51,5613.8521283864975
52,5641.198392957449
53,5637.3905427753925
54,5658.878020942211
55,5681.038409471512
56,5666.883368045092
