,Data
0,9323.0
1,6982.999915957451
2,6013.999988019466
3,5278.000096946955
4,7003.000041350722
5,5141.000106275082
6,7405.999963209033
7,8058.999993786216
8,11756.999909311533
9,6374.0000223219395
10,7429.000003218651
11,1077.9998819828033
12,8931.000008184463
13,5541.000113517046
14,8034.000010699034
15,7926.000028192997
16,10656.999958857894
17,22472.999717116356
18,13236.000047922134
19,11304.000021278858
20,6497.000133603811
21,9682.999999571592
22,5658.000117719173
23,9135.000002153218
24,12232.999976277351
25,7559.000054195523
26,14538.999916613102
27,20653.0003926754
28,17122.000030755997
29,15953.000238120556
30,8431.000033862889
31,9805.000000391155
32,7037.000046133995
33,8989.999996054918
34,7277.999994233251
35,4473.000224769115
36,8234.000014320016
37,5811.999902397394
38,11216.99999678135
39,9581.999991491437
40,16902.999873280525
41,9329.999999931373
42,8537.000003829598
43,8904.999984096736
44,11698.99989297986
45,8261.000009946525
46,7557.999943733215
47,6804.999980807304
48,4835.999895840883
49,5219.0001090765
50,9138.000003596768
51,7996.999952375889
52,6039.000110030174
53,7317.999967172742
54,11027.999957934022
55,7040.9999322891235
56,5240.000067085028
57,7115.000048935413
58,8403.999968774617
59,9825.999993130565
60,8227.000005163252
61,13751.000116288662
62,7718.999945953488
63,5250.0000603199005
64,8610.00001001358
65,3120.000112056732
66,3998.9998230338097
67,5152.000071048737
68,7907.999984800816
69,5873.000111192465
70,6952.999936252832
71,5545.999971210957
72,5672.999968647957
73,5586.99991568923
74,6732.000113546848
75,6585.000129640102
76,6956.00012871623
77,8634.999993100762
78,7064.9999438375235
79,6999.000016272068
80,6586.0001011788845
81,7969.00005467236
82,5304.999884188175
83,5992.0000584721565
84,4597.999723434448
85,6314.000062912703
86,5252.999974936247
87,6714.000070154667
88,11071.999955952168
89,9347.000000695
90,8003.359454616904
91,7445.107908189297
92,8580.076299324632
93,8376.619114302099
94,8397.865244798362
95,8658.50835429132
96,8197.90420922637
97,8149.237214282155
98,8161.821532405913
99,8412.256471760571
100,8024.21757170558
101,7844.415242731571
102,7852.565052449703
103,7855.806416153908
