,FileName,ColumnList,WindowSize,NumOfPredictDay,Layer,Loss,Optimizer,BatchSize,Epoch,ValidationSplit,ModelName
28,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,30,"[7, 50, 100, 30]",mse,adam,512,1,0.1,28.h5
29,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,30,"[7, 50, 100, 30]",mse,adam,512,5,0.1,29.h5
30,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,30,"[7, 50, 100, 30]",mse,adam,512,10,0.1,30.h5
31,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",100,30,"[7, 50, 100, 30]",mse,adam,512,50,0.1,31.h5
32,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,3,"[7, 50, 100, 3]",mse,adam,512,1,0.1,32.h5
33,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,3,"[7, 50, 100, 3]",mse,adam,512,5,0.1,33.h5
34,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,3,"[7, 50, 100, 3]",mse,adam,512,10,0.1,34.h5
35,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,3,"[7, 50, 100, 3]",mse,adam,512,50,0.1,35.h5
36,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,7,"[7, 50, 100, 7]",mse,adam,512,1,0.1,36.h5
37,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,7,"[7, 50, 100, 7]",mse,adam,512,5,0.1,37.h5
38,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,7,"[7, 50, 100, 7]",mse,adam,512,10,0.1,38.h5
39,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,7,"[7, 50, 100, 7]",mse,adam,512,50,0.1,39.h5
40,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,10,"[7, 50, 100, 10]",mse,adam,512,1,0.1,40.h5
41,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,10,"[7, 50, 100, 10]",mse,adam,512,5,0.1,41.h5
42,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,10,"[7, 50, 100, 10]",mse,adam,512,10,0.1,42.h5
43,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,10,"[7, 50, 100, 10]",mse,adam,512,50,0.1,43.h5
44,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,30,"[7, 50, 100, 30]",mse,adam,512,1,0.1,44.h5
45,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,30,"[7, 50, 100, 30]",mse,adam,512,5,0.1,45.h5
46,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,30,"[7, 50, 100, 30]",mse,adam,512,10,0.1,46.h5
47,1560.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",150,30,"[7, 50, 100, 30]",mse,adam,512,50,0.1,47.h5
48,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,3,"[7, 50, 100, 3]",mse,adam,512,1,0.1,48.h5
49,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,3,"[7, 50, 100, 3]",mse,adam,512,5,0.1,49.h5
50,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,3,"[7, 50, 100, 3]",mse,adam,512,10,0.1,50.h5
51,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,3,"[7, 50, 100, 3]",mse,adam,512,50,0.1,51.h5
52,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,7,"[7, 50, 100, 7]",mse,adam,512,1,0.1,52.h5
53,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,7,"[7, 50, 100, 7]",mse,adam,512,5,0.1,53.h5
54,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,7,"[7, 50, 100, 7]",mse,adam,512,10,0.1,54.h5
55,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,7,"[7, 50, 100, 7]",mse,adam,512,50,0.1,55.h5
56,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,10,"[7, 50, 100, 10]",mse,adam,512,1,0.1,56.h5
57,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,10,"[7, 50, 100, 10]",mse,adam,512,5,0.1,57.h5
58,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,10,"[7, 50, 100, 10]",mse,adam,512,10,0.1,58.h5
59,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,10,"[7, 50, 100, 10]",mse,adam,512,50,0.1,59.h5
60,2002.csv,"['成交股數', '成交金額', '成交筆數', '開盤價', '最後揭示買價', '最後揭示賣價', '收盤價']",50,30,"[7, 50, 100, 30]",mse,adam,512,1,0.1,60.h5
