日期,時間戳,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1994-10-17,782323200,1000,80000,80.00,80.00,80.00,80.00,5.00,1
1994-10-18,782409600,1000,85500,85.50,85.50,85.50,85.50,5.50,1
1994-10-19,782496000,1000,91000,91.00,91.00,91.00,91.00,5.50,1
1994-10-20,782582400,1000,97000,97.00,97.00,97.00,97.00,6.00,1
1994-10-21,782668800,36000,3726000,103.50,103.50,103.50,103.50,6.50,35
1994-10-22,782755200,3481900,367078349,110.50,110.50,96.50,97.50,-6.00,1877
1994-10-24,782928000,1261000,118914500,97.00,97.00,92.50,94.00,-3.50,821
1994-10-26,783100800,1030000,92383500,92.00,93.00,88.00,90.00,-4.00,566
1994-10-27,783187200,823500,73912649,89.00,92.00,87.00,91.50,1.50,492
1994-10-28,783273600,499400,46206811,91.00,94.00,91.00,94.00,2.50,292
1994-10-29,783360000,425521,39505042,94.00,95.00,92.00,93.00,-1.00,227
1994-11-01,783619200,529000,48189000,93.00,93.00,89.50,92.00,-1.00,297
1994-11-02,783705600,300070,27215375,90.50,92.00,90.00,92.00,0.00,194
1994-11-03,783792000,155450,14040486,92.00,92.00,89.50,89.50,-2.50,111
1994-11-04,783878400,201450,18084870,89.00,91.00,88.50,91.00,1.50,135
1994-11-05,783964800,500000,46413000,94.00,94.00,91.00,92.50,1.50,193
1994-11-07,784137600,305000,28177000,93.50,93.50,90.00,91.50,-1.00,133
1994-11-08,784224000,124200,11266194,91.50,91.50,90.00,91.00,-0.50,77
1994-11-09,784310400,132900,12150081,91.00,92.00,90.00,92.00,1.00,92
1994-11-10,784396800,109000,9971500,91.00,92.00,91.00,91.50,-0.50,67
1994-11-11,784483200,156000,14192000,91.00,91.50,90.50,90.50,-1.00,79
1994-11-14,784742400,214600,19349843,91.00,91.00,89.00,90.00,-0.50,131
1994-11-15,784828800,95700,8538370,90.00,90.00,88.00,89.50,-0.50,74
1994-11-16,784915200,146000,12907500,89.00,89.00,88.00,88.50,-1.00,88
1994-11-17,785001600,140000,12405000,88.00,89.00,88.00,89.00,0.50,75
1994-11-18,785088000,124000,11076000,89.00,90.00,88.50,88.50,-0.50,66
1994-11-19,785174400,103000,9178000,88.50,89.50,88.50,89.50,1.00,57
1994-11-21,785347200,101000,9008500,89.50,90.00,88.50,89.00,-0.50,50
1994-11-22,785433600,136000,12049000,89.00,89.00,88.00,88.50,-0.50,75
1994-11-23,785520000,112120,9767013,87.50,88.00,85.00,88.00,-0.50,78
1994-11-24,785606400,69000,6037000,88.00,88.00,86.50,88.00,0.00,50
1994-11-25,785692800,204000,18069000,88.00,89.00,88.00,89.00,1.00,105
1994-11-26,785779200,136000,11957000,89.00,89.00,87.00,88.00,-1.00,65
1994-11-28,785952000,74000,6436000,88.00,88.00,86.50,87.00,-1.00,45
1994-11-29,786038400,139029,12159626,86.50,88.00,86.50,88.00,1.00,99
1994-11-30,786124800,320519,27938715,87.50,88.00,87.00,88.00,0.00,64
1994-12-01,786211200,438730,38308597,87.00,88.50,87.00,87.50,-0.50,91
1994-12-02,786297600,875000,76656500,87.50,91.50,87.00,91.50,4.00,207
1994-12-05,786556800,1270100,117242558,93.50,93.50,91.50,92.50,1.00,405
1994-12-06,786643200,568950,52094991,92.50,92.50,90.50,91.00,-1.50,186
1994-12-07,786729600,294340,26694130,91.00,91.00,90.00,91.00,0.00,171
1994-12-08,786816000,234000,21153500,91.50,92.00,89.50,89.50,-1.50,116
1994-12-09,786902400,127122,11238809,88.50,89.00,88.00,89.00,-0.50,82
1994-12-10,786988800,114000,10075500,89.00,89.00,87.50,88.50,-0.50,74
1994-12-12,787161600,130000,11384500,88.50,88.50,87.00,88.00,-0.50,66
1994-12-13,787248000,101000,8814000,87.50,88.00,87.00,87.00,-1.00,68
1994-12-14,787334400,81500,7122065,87.00,88.00,87.00,88.00,1.00,52
1994-12-15,787420800,108000,9452500,88.00,88.00,87.00,87.50,-0.50,55
1994-12-16,787507200,128000,11243000,88.00,88.50,87.00,87.50,0.00,73
1994-12-17,787593600,80885,7071158,87.50,88.00,87.00,87.00,-0.50,49
1994-12-19,787766400,226000,19709000,87.50,87.50,87.00,87.50,0.50,110
1994-12-20,787852800,154600,13525972,87.50,88.00,87.00,87.50,0.00,71
1994-12-21,787939200,179000,15609500,87.50,87.50,87.00,87.50,0.00,84
1994-12-22,788025600,222000,19467000,87.50,88.00,87.00,88.00,0.50,126
1994-12-23,788112000,119800,10446696,88.00,88.00,87.00,87.50,-0.50,58
1994-12-24,788198400,132000,11473000,87.00,87.50,86.50,87.00,-0.50,53
1994-12-27,788457600,167000,14492500,87.00,87.50,86.00,86.50,-0.50,78
1994-12-28,788544000,180000,15405000,86.50,86.50,85.00,85.50,-1.00,84
1994-12-29,788630400,212000,17952500,85.50,85.50,84.00,84.50,-1.00,107
1994-12-30,788716800,187000,15878500,85.00,86.00,84.50,85.00,0.50,97
1994-12-31,788803200,98000,8348500,85.50,85.50,85.00,85.50,0.50,48
1995-01-05,789235200,413000,35378500,85.50,86.00,85.00,86.00,0.50,156
1995-01-06,789321600,103000,8759000,85.00,86.00,85.00,85.50,-0.50,43
1995-01-07,789408000,57000,4848000,85.50,85.50,84.50,85.50,0.00,41
1995-01-09,789580800,45000,3812500,85.00,85.00,84.50,85.00,-0.50,26
1995-01-10,789667200,146800,12306820,84.50,85.00,82.00,84.00,-1.00,78
1995-01-11,789753600,92000,7684500,83.00,84.00,83.00,83.50,-0.50,49
1995-01-12,789840000,122000,10046500,83.50,83.50,82.00,82.50,-1.00,65
1995-01-13,789926400,41000,3378000,82.50,83.00,82.00,82.00,-0.50,32
1995-01-14,790012800,281000,23012000,82.00,82.50,81.00,82.00,0.00,71
1995-01-16,790185600,90000,7370000,82.00,83.00,81.00,82.00,0.00,48
1995-01-17,790272000,52000,4261000,82.00,82.50,81.50,81.50,-0.50,20
1995-01-18,790358400,152000,12259500,81.00,81.50,80.00,80.50,-1.00,85
1995-01-19,790444800,178000,14472000,80.50,82.00,80.50,81.50,1.00,97
1995-01-20,790531200,138900,11018112,80.00,80.50,77.00,79.00,-2.50,60
1995-01-21,790617600,140000,10833500,77.50,79.00,77.00,78.00,-1.00,53
1995-01-23,790790400,58000,4496000,78.00,78.00,77.00,77.00,-1.00,37
1995-01-24,790876800,115000,8652000,75.00,76.00,75.00,75.50,-1.50,70
1995-01-25,790963200,136156,10256897,75.00,75.50,75.00,75.50,0.00,70
1995-01-26,791049600,309000,23238000,75.50,75.50,75.00,75.50,0.00,94
1995-02-04,791827200,114000,8719500,80.00,80.00,75.50,75.50,0.00,52
1995-02-06,792000000,67000,5064500,75.50,76.00,75.00,76.00,0.50,36
1995-02-07,792086400,125000,9575500,76.50,77.00,76.00,77.00,1.00,69
1995-02-08,792172800,92000,7121000,77.00,78.00,77.00,78.00,1.00,44
1995-02-09,792259200,107000,8383000,78.00,78.50,77.50,78.00,0.00,40
1995-02-10,792345600,228000,17076500,77.50,78.00,73.00,77.00,-1.00,91
1995-02-11,792432000,86000,6621000,76.50,77.50,76.50,77.00,0.00,38
1995-02-13,792604800,40000,3055000,76.50,77.00,76.00,76.50,-0.50,30
1995-02-14,792691200,33018,2500862,76.00,76.00,75.50,76.00,-0.50,21
1995-02-15,792777600,182000,13756000,76.00,76.50,75.00,76.00,0.00,59
1995-02-16,792864000,301000,23247000,76.50,79.00,76.50,78.00,2.00,106
1995-02-17,792950400,489415,38817046,78.50,82.00,78.00,80.50,2.50,143
1995-02-18,793036800,145500,11725345,80.50,81.00,80.50,81.00,0.50,59
1995-02-20,793209600,260000,21186000,81.00,82.00,80.00,82.00,1.00,90
1995-02-21,793296000,372500,30837590,81.50,83.50,81.50,82.50,0.50,120
1995-02-22,793382400,215998,17227175,82.00,82.00,79.00,79.00,-3.50,112
1995-02-23,793468800,281424,22551161,79.00,81.00,79.00,81.00,2.00,91
1995-02-24,793555200,74000,5859000,75.50,81.50,75.50,80.00,-1.00,42
1995-02-25,793641600,28000,2236000,80.00,80.00,79.50,80.00,0.00,15
1995-02-27,793814400,113000,8776000,76.00,78.00,76.00,78.00,-2.00,48
1995-02-28,793900800,43955,3411244,77.50,78.00,77.00,77.00,-1.00,38
1995-03-01,793987200,36000,2775000,77.00,77.50,76.50,77.00,0.00,31
1995-03-02,794073600,32000,2468000,77.00,77.50,76.50,77.00,0.00,27
1995-03-03,794160000,34000,2637500,77.00,78.00,77.00,77.50,0.50,29
1995-03-04,794246400,42000,3262500,78.00,78.00,77.50,78.00,0.50,19
1995-03-06,794419200,14000,1088000,78.00,78.00,77.00,78.00,0.00,10
1995-03-07,794505600,61000,4729000,78.00,78.50,77.00,78.50,0.50,36
1995-03-08,794592000,56000,4371000,78.00,78.50,77.50,78.00,-0.50,22
1995-03-09,794678400,24000,1869000,78.00,78.00,77.50,77.50,-0.50,18
1995-03-10,794764800,35000,2694000,77.00,77.50,76.50,77.50,0.00,29
1995-03-11,794851200,102000,7928500,77.50,78.00,77.00,77.50,0.00,36
1995-03-13,795024000,144000,11271500,78.00,78.50,78.00,78.50,1.00,57
1995-03-14,795110400,134000,10419500,79.00,79.00,76.50,78.00,-0.50,57
1995-03-15,795196800,575000,45399500,78.50,79.50,78.00,79.50,1.50,175
1995-03-16,795283200,262000,20676500,79.50,79.50,77.00,78.50,-1.00,71
1995-03-17,795369600,301000,23718500,78.50,79.50,78.50,79.00,0.50,97
1995-03-18,795456000,161000,12661000,79.00,79.00,78.00,79.00,0.00,49
1995-03-20,795628800,110000,8625000,79.00,79.50,78.00,78.50,-0.50,51
1995-03-21,795715200,66000,5187000,78.50,79.50,78.00,78.00,-0.50,38
1995-03-22,795801600,123000,9474500,77.50,78.00,76.00,76.50,-1.50,62
1995-03-23,795888000,96000,7339000,76.00,77.00,76.00,77.00,0.50,52
1995-03-24,795974400,189000,14602500,76.00,78.00,76.00,78.00,1.00,44
1995-03-25,796060800,176200,13711444,77.50,78.50,76.50,77.00,-1.00,57
1995-03-27,796233600,164000,12620000,77.00,77.00,76.50,77.00,0.00,73
1995-03-28,796320000,264000,20414000,78.00,78.00,76.50,77.50,0.50,101
1995-03-30,796492800,892000,70786000,78.00,81.00,77.50,81.00,3.50,286
1995-03-31,796579200,673537,54462749,82.00,82.00,80.00,82.00,1.00,219
1995-04-01,796665600,271002,22183520,81.00,82.50,81.00,82.50,0.50,119
1995-04-06,797097600,376000,30822500,83.00,83.00,81.50,82.00,-0.50,159
1995-04-07,797184000,253057,20497806,82.00,82.00,79.00,80.00,-2.00,96
1995-04-08,797270400,237000,19080000,80.00,81.50,79.00,81.50,1.50,70
1995-04-10,797443200,266000,21611000,81.50,81.50,80.00,81.50,0.00,79
1995-04-11,797529600,430000,35237500,81.50,82.50,81.00,82.00,0.50,110
1995-04-12,797616000,669000,55111500,82.50,83.00,81.50,83.00,1.00,144
1995-04-13,797702400,367604,30276130,83.00,83.00,81.50,82.50,-0.50,100
1995-04-14,797788800,388000,31813500,82.50,82.50,81.50,82.00,-0.50,97
1995-04-15,797875200,239500,19267090,81.50,81.50,79.50,81.00,-1.00,81
